HYPER-PARAMETERS
[35/400]  Loss_D: -2.1676 Loss_G: -1.1712, Wasserstein_dist:2.9565, vae_loss_seen:354.9231 GZSL: seen=0.3381, unseen=0.4837, h=0.3980 ZSL: unseen accuracy=0.6375
[36/400]  Loss_D: -2.5972 Loss_G: -1.8360, Wasserstein_dist:3.4353, vae_loss_seen:388.0144 GZSL: seen=0.3637, unseen=0.4452, h=0.4003 ZSL: unseen accuracy=0.6452
[37/400]  Loss_D: -2.3592 Loss_G: -1.1534, Wasserstein_dist:3.1277, vae_loss_seen:362.0937 GZSL: seen=0.3678, unseen=0.4615, h=0.4094 ZSL: unseen accuracy=0.6558
[38/400]  Loss_D: -2.2463 Loss_G: -1.5601, Wasserstein_dist:2.9270, vae_loss_seen:363.8540 GZSL: seen=0.3363, unseen=0.4846, h=0.3971 ZSL: unseen accuracy=0.6423
[39/400]  Loss_D: -2.1647 Loss_G: -1.4247, Wasserstein_dist:2.9512, vae_loss_seen:359.3072 GZSL: seen=0.3416, unseen=0.4788, h=0.3988 ZSL: unseen accuracy=0.6375
[40/400]  Loss_D: -2.4787 Loss_G: -1.7484, Wasserstein_dist:3.2967, vae_loss_seen:382.3087 GZSL: seen=0.3734, unseen=0.4413, h=0.4045 ZSL: unseen accuracy=0.6423
[41/400]  Loss_D: -2.2139 Loss_G: -1.5071, Wasserstein_dist:2.9451, vae_loss_seen:361.9806 GZSL: seen=0.3519, unseen=0.4654, h=0.4007 ZSL: unseen accuracy=0.6442
[42/400]  Loss_D: -2.5001 Loss_G: -1.3627, Wasserstein_dist:3.2877, vae_loss_seen:382.3276 GZSL: seen=0.3526, unseen=0.4596, h=0.3991 ZSL: unseen accuracy=0.6413
[43/400]  Loss_D: -2.3340 Loss_G: -1.5412, Wasserstein_dist:3.1987, vae_loss_seen:365.9645 GZSL: seen=0.3530, unseen=0.4615, h=0.4000 ZSL: unseen accuracy=0.6365
[44/400]  Loss_D: -2.5619 Loss_G: -1.6913, Wasserstein_dist:3.4221, vae_loss_seen:386.1660 GZSL: seen=0.3553, unseen=0.4712, h=0.4051 ZSL: unseen accuracy=0.6462
[45/400]  Loss_D: -2.1411 Loss_G: -1.5944, Wasserstein_dist:2.8774, vae_loss_seen:360.3999 GZSL: seen=0.3544, unseen=0.4712, h=0.4045 ZSL: unseen accuracy=0.6442
