HYPER-PARAMETERS
[46/400]  Loss_D: -2.3327 Loss_G: -1.9388, Wasserstein_dist:3.1621, vae_loss_seen:378.0391 GZSL: seen=0.3687, unseen=0.4875, h=0.4199 ZSL: unseen accuracy=0.6356
[47/400]  Loss_D: -2.2323 Loss_G: -1.5720, Wasserstein_dist:2.9552, vae_loss_seen:383.7130 GZSL: seen=0.3514, unseen=0.5077, h=0.4153 ZSL: unseen accuracy=0.6346
[48/400]  Loss_D: -2.0919 Loss_G: -1.8097, Wasserstein_dist:2.8465, vae_loss_seen:366.5217 GZSL: seen=0.3716, unseen=0.4779, h=0.4181 ZSL: unseen accuracy=0.6365
[49/400]  Loss_D: -2.2148 Loss_G: -1.8481, Wasserstein_dist:3.0705, vae_loss_seen:374.9158 GZSL: seen=0.3743, unseen=0.4817, h=0.4213 ZSL: unseen accuracy=0.6279
[50/400]  Loss_D: -2.1356 Loss_G: -1.7602, Wasserstein_dist:2.9175, vae_loss_seen:365.0280 GZSL: seen=0.3651, unseen=0.4837, h=0.4161 ZSL: unseen accuracy=0.6394
[51/400]  Loss_D: -2.2243 Loss_G: -2.0367, Wasserstein_dist:3.0344, vae_loss_seen:376.6877 GZSL: seen=0.3788, unseen=0.4779, h=0.4226 ZSL: unseen accuracy=0.6404
[52/400]  Loss_D: -2.1858 Loss_G: -1.8911, Wasserstein_dist:2.9691, vae_loss_seen:363.5539 GZSL: seen=0.3753, unseen=0.4846, h=0.4230 ZSL: unseen accuracy=0.6288
[53/400]  Loss_D: -2.1675 Loss_G: -1.8879, Wasserstein_dist:2.8424, vae_loss_seen:379.9357 GZSL: seen=0.3689, unseen=0.4923, h=0.4218 ZSL: unseen accuracy=0.6423
[54/400]  Loss_D: -2.1082 Loss_G: -1.8354, Wasserstein_dist:2.8459, vae_loss_seen:379.7607 GZSL: seen=0.3743, unseen=0.4798, h=0.4205 ZSL: unseen accuracy=0.6452
[55/400]  Loss_D: -1.9362 Loss_G: -1.6804, Wasserstein_dist:2.5798, vae_loss_seen:371.3907 GZSL: seen=0.3651, unseen=0.4933, h=0.4196 ZSL: unseen accuracy=0.6337
[56/400]  Loss_D: -1.9243 Loss_G: -1.5052, Wasserstein_dist:2.4955, vae_loss_seen:365.8300 GZSL: seen=0.3692, unseen=0.4990, h=0.4244 ZSL: unseen accuracy=0.6385
[57/400]  Loss_D: -2.2281 Loss_G: -1.7325, Wasserstein_dist:2.9128, vae_loss_seen:385.4525 GZSL: seen=0.3607, unseen=0.5058, h=0.4211 ZSL: unseen accuracy=0.6327
[58/400]  Loss_D: -2.0107 Loss_G: -1.7061, Wasserstein_dist:2.6703, vae_loss_seen:374.5446 GZSL: seen=0.3728, unseen=0.4808, h=0.4199 ZSL: unseen accuracy=0.6346
[59/400]  Loss_D: -1.9897 Loss_G: -1.6331, Wasserstein_dist:2.7141, vae_loss_seen:373.9365 GZSL: seen=0.3658, unseen=0.4923, h=0.4197 ZSL: unseen accuracy=0.6365
[60/400]  Loss_D: -1.9541 Loss_G: -1.6273, Wasserstein_dist:2.5723, vae_loss_seen:367.2708 GZSL: seen=0.3790, unseen=0.4952, h=0.4294 ZSL: unseen accuracy=0.6433
[61/400]  Loss_D: -1.9084 Loss_G: -1.9233, Wasserstein_dist:2.5973, vae_loss_seen:371.5200 GZSL: seen=0.3554, unseen=0.5000, h=0.4155 ZSL: unseen accuracy=0.6327
[62/400]  Loss_D: -1.9641 Loss_G: -1.6088, Wasserstein_dist:2.6673, vae_loss_seen:381.5197 GZSL: seen=0.3594, unseen=0.5125, h=0.4225 ZSL: unseen accuracy=0.6481
[63/400]  Loss_D: -1.9077 Loss_G: -1.8856, Wasserstein_dist:2.6261, vae_loss_seen:370.7206 GZSL: seen=0.3700, unseen=0.5048, h=0.4270 ZSL: unseen accuracy=0.6423
[64/400]  Loss_D: -1.7426 Loss_G: -1.9153, Wasserstein_dist:2.4243, vae_loss_seen:368.6701 GZSL: seen=0.3669, unseen=0.5019, h=0.4239 ZSL: unseen accuracy=0.6433
[65/400]  Loss_D: -2.0000 Loss_G: -1.6314, Wasserstein_dist:2.6905, vae_loss_seen:386.9648 GZSL: seen=0.3779, unseen=0.4875, h=0.4258 ZSL: unseen accuracy=0.6394
