HYPER-PARAMETERS
[43/400]  Loss_D: -1.5227 Loss_G: -3.7028, Wasserstein_dist:2.1119, vae_loss_seen:746.6668 GZSL: seen=0.9429, unseen=0.8663, h=0.9030 ZSL: unseen accuracy=0.9221
[44/400]  Loss_D: -1.6338 Loss_G: -5.7050, Wasserstein_dist:2.1330, vae_loss_seen:751.6569 GZSL: seen=0.9326, unseen=0.8750, h=0.9029 ZSL: unseen accuracy=0.9192
[45/400]  Loss_D: -1.6371 Loss_G: -2.9729, Wasserstein_dist:2.1989, vae_loss_seen:745.5153 GZSL: seen=0.9403, unseen=0.8750, h=0.9065 ZSL: unseen accuracy=0.9154
[46/400]  Loss_D: -1.5186 Loss_G: -5.1646, Wasserstein_dist:2.0316, vae_loss_seen:742.1643 GZSL: seen=0.9386, unseen=0.8712, h=0.9036 ZSL: unseen accuracy=0.9173
[47/400]  Loss_D: -1.4691 Loss_G: -5.3124, Wasserstein_dist:1.9978, vae_loss_seen:746.4524 GZSL: seen=0.9322, unseen=0.8769, h=0.9037 ZSL: unseen accuracy=0.9212
[48/400]  Loss_D: -1.5026 Loss_G: -5.7371, Wasserstein_dist:2.0971, vae_loss_seen:743.0352 GZSL: seen=0.9306, unseen=0.8760, h=0.9024 ZSL: unseen accuracy=0.9240
[49/400]  Loss_D: -1.6340 Loss_G: -5.4275, Wasserstein_dist:2.2140, vae_loss_seen:746.2166 GZSL: seen=0.9444, unseen=0.8731, h=0.9073 ZSL: unseen accuracy=0.9240
[50/400]  Loss_D: -1.4841 Loss_G: -6.0218, Wasserstein_dist:2.0207, vae_loss_seen:747.9079 GZSL: seen=0.9434, unseen=0.8683, h=0.9043 ZSL: unseen accuracy=0.9192
[51/400]  Loss_D: -1.5382 Loss_G: -3.0526, Wasserstein_dist:2.0457, vae_loss_seen:743.1194 GZSL: seen=0.9254, unseen=0.8875, h=0.9060 ZSL: unseen accuracy=0.9183
[52/400]  Loss_D: -1.5826 Loss_G: -4.3020, Wasserstein_dist:2.1356, vae_loss_seen:741.9667 GZSL: seen=0.9302, unseen=0.8798, h=0.9043 ZSL: unseen accuracy=0.9212
