HYPER-PARAMETERS
[42/400]  Loss_D: -2.1820 Loss_G: -1.4252, Wasserstein_dist:2.8794, vae_loss_seen:364.1637 GZSL: seen=0.3632, unseen=0.4510, h=0.4023 ZSL: unseen accuracy=0.6385
[43/400]  Loss_D: -2.5493 Loss_G: -1.7501, Wasserstein_dist:3.3528, vae_loss_seen:396.5351 GZSL: seen=0.3478, unseen=0.4865, h=0.4056 ZSL: unseen accuracy=0.6442
[44/400]  Loss_D: -2.4732 Loss_G: -1.5847, Wasserstein_dist:3.2794, vae_loss_seen:381.9680 GZSL: seen=0.3711, unseen=0.4337, h=0.4000 ZSL: unseen accuracy=0.6413
[45/400]  Loss_D: -2.2570 Loss_G: -1.6416, Wasserstein_dist:2.9647, vae_loss_seen:375.0496 GZSL: seen=0.3667, unseen=0.4625, h=0.4091 ZSL: unseen accuracy=0.6567
[46/400]  Loss_D: -2.2451 Loss_G: -1.5502, Wasserstein_dist:2.9904, vae_loss_seen:373.6270 GZSL: seen=0.3627, unseen=0.4558, h=0.4040 ZSL: unseen accuracy=0.6462
[47/400]  Loss_D: -2.3455 Loss_G: -1.8036, Wasserstein_dist:3.3040, vae_loss_seen:366.5195 GZSL: seen=0.3343, unseen=0.5077, h=0.4032 ZSL: unseen accuracy=0.6538
[48/400]  Loss_D: -2.1977 Loss_G: -1.8173, Wasserstein_dist:2.9362, vae_loss_seen:364.0967 GZSL: seen=0.3311, unseen=0.5058, h=0.4002 ZSL: unseen accuracy=0.6413
[49/400]  Loss_D: -2.1809 Loss_G: -1.6167, Wasserstein_dist:2.9644, vae_loss_seen:367.8061 GZSL: seen=0.3501, unseen=0.4952, h=0.4102 ZSL: unseen accuracy=0.6481
[50/400]  Loss_D: -2.4063 Loss_G: -1.8531, Wasserstein_dist:3.2316, vae_loss_seen:384.8263 GZSL: seen=0.3692, unseen=0.4558, h=0.4079 ZSL: unseen accuracy=0.6481
[51/400]  Loss_D: -2.2206 Loss_G: -1.7124, Wasserstein_dist:3.0602, vae_loss_seen:365.1895 GZSL: seen=0.3709, unseen=0.4635, h=0.4120 ZSL: unseen accuracy=0.6413
[52/400]  Loss_D: -2.3450 Loss_G: -1.7278, Wasserstein_dist:3.0184, vae_loss_seen:375.2352 GZSL: seen=0.3492, unseen=0.4962, h=0.4099 ZSL: unseen accuracy=0.6596
[53/400]  Loss_D: -2.2296 Loss_G: -1.6799, Wasserstein_dist:3.0329, vae_loss_seen:369.0698 GZSL: seen=0.3535, unseen=0.4817, h=0.4078 ZSL: unseen accuracy=0.6462
[54/400]  Loss_D: -2.1037 Loss_G: -1.3592, Wasserstein_dist:2.7975, vae_loss_seen:355.4918 GZSL: seen=0.3488, unseen=0.4913, h=0.4080 ZSL: unseen accuracy=0.6519
[55/400]  Loss_D: -2.5525 Loss_G: -1.7885, Wasserstein_dist:3.3495, vae_loss_seen:390.5415 GZSL: seen=0.3431, unseen=0.5067, h=0.4091 ZSL: unseen accuracy=0.6394
[56/400]  Loss_D: -2.2551 Loss_G: -1.6280, Wasserstein_dist:3.0742, vae_loss_seen:371.5496 GZSL: seen=0.3574, unseen=0.4740, h=0.4075 ZSL: unseen accuracy=0.6519
[57/400]  Loss_D: -2.2168 Loss_G: -1.7855, Wasserstein_dist:3.0690, vae_loss_seen:375.4254 GZSL: seen=0.3736, unseen=0.4423, h=0.4051 ZSL: unseen accuracy=0.6529
[58/400]  Loss_D: -2.2489 Loss_G: -1.7549, Wasserstein_dist:3.0021, vae_loss_seen:378.5075 GZSL: seen=0.3647, unseen=0.4702, h=0.4108 ZSL: unseen accuracy=0.6510
