HYPER-PARAMETERS
[45/400]  Loss_D: -1.4979 Loss_G: -5.2800, Wasserstein_dist:2.0384, vae_loss_seen:744.0082 GZSL: seen=0.9350, unseen=0.8779, h=0.9055 ZSL: unseen accuracy=0.9212
[46/400]  Loss_D: -1.4834 Loss_G: -4.2173, Wasserstein_dist:2.0022, vae_loss_seen:753.6708 GZSL: seen=0.9335, unseen=0.8779, h=0.9049 ZSL: unseen accuracy=0.9173
[47/400]  Loss_D: -1.5230 Loss_G: -4.5489, Wasserstein_dist:2.1583, vae_loss_seen:749.8936 GZSL: seen=0.9387, unseen=0.8913, h=0.9144 ZSL: unseen accuracy=0.9260
[48/400]  Loss_D: -1.4433 Loss_G: -3.9887, Wasserstein_dist:1.9736, vae_loss_seen:754.6786 GZSL: seen=0.9167, unseen=0.9010, h=0.9088 ZSL: unseen accuracy=0.9279
[49/400]  Loss_D: -1.3915 Loss_G: -3.6478, Wasserstein_dist:1.8855, vae_loss_seen:746.5396 GZSL: seen=0.9293, unseen=0.8673, h=0.8972 ZSL: unseen accuracy=0.9183
[50/400]  Loss_D: -1.4535 Loss_G: -4.5255, Wasserstein_dist:2.0043, vae_loss_seen:754.3937 GZSL: seen=0.9359, unseen=0.8827, h=0.9085 ZSL: unseen accuracy=0.9221
[51/400]  Loss_D: -1.6070 Loss_G: -6.5995, Wasserstein_dist:2.1852, vae_loss_seen:756.4266 GZSL: seen=0.9377, unseen=0.8673, h=0.9011 ZSL: unseen accuracy=0.9221
[52/400]  Loss_D: -1.4138 Loss_G: -4.5722, Wasserstein_dist:1.9088, vae_loss_seen:749.5938 GZSL: seen=0.9355, unseen=0.8798, h=0.9068 ZSL: unseen accuracy=0.9173
[53/400]  Loss_D: -1.4805 Loss_G: -4.3482, Wasserstein_dist:1.9892, vae_loss_seen:744.6013 GZSL: seen=0.9513, unseen=0.8635, h=0.9052 ZSL: unseen accuracy=0.9221
[54/400]  Loss_D: -1.6412 Loss_G: -5.2110, Wasserstein_dist:2.1842, vae_loss_seen:749.7930 GZSL: seen=0.9440, unseen=0.8625, h=0.9014 ZSL: unseen accuracy=0.9231
