HYPER-PARAMETERS
[38/400]  Loss_D: -2.2794 Loss_G: -1.4653, Wasserstein_dist:3.0437, vae_loss_seen:364.1328 GZSL: seen=0.3596, unseen=0.4404, h=0.3959 ZSL: unseen accuracy=0.6394
[39/400]  Loss_D: -2.1442 Loss_G: -1.3947, Wasserstein_dist:2.9507, vae_loss_seen:359.2806 GZSL: seen=0.3663, unseen=0.4433, h=0.4011 ZSL: unseen accuracy=0.6413
[40/400]  Loss_D: -2.4668 Loss_G: -1.7591, Wasserstein_dist:3.3031, vae_loss_seen:382.4413 GZSL: seen=0.3678, unseen=0.4606, h=0.4090 ZSL: unseen accuracy=0.6548
[41/400]  Loss_D: -2.2546 Loss_G: -1.5634, Wasserstein_dist:2.9858, vae_loss_seen:362.0123 GZSL: seen=0.3718, unseen=0.4365, h=0.4015 ZSL: unseen accuracy=0.6462
[42/400]  Loss_D: -2.4743 Loss_G: -1.3055, Wasserstein_dist:3.2677, vae_loss_seen:382.4801 GZSL: seen=0.3484, unseen=0.4644, h=0.3981 ZSL: unseen accuracy=0.6442
[43/400]  Loss_D: -2.2896 Loss_G: -1.6073, Wasserstein_dist:3.1353, vae_loss_seen:366.1413 GZSL: seen=0.3561, unseen=0.4625, h=0.4024 ZSL: unseen accuracy=0.6462
[44/400]  Loss_D: -2.5062 Loss_G: -1.7726, Wasserstein_dist:3.3758, vae_loss_seen:386.0324 GZSL: seen=0.3583, unseen=0.4587, h=0.4023 ZSL: unseen accuracy=0.6442
[45/400]  Loss_D: -2.1636 Loss_G: -1.6692, Wasserstein_dist:3.0050, vae_loss_seen:360.0588 GZSL: seen=0.3648, unseen=0.4442, h=0.4006 ZSL: unseen accuracy=0.6500
[46/400]  Loss_D: -2.4726 Loss_G: -1.8902, Wasserstein_dist:3.2782, vae_loss_seen:375.0486 GZSL: seen=0.3612, unseen=0.4625, h=0.4056 ZSL: unseen accuracy=0.6433
[47/400]  Loss_D: -2.3837 Loss_G: -1.4228, Wasserstein_dist:3.0879, vae_loss_seen:381.2203 GZSL: seen=0.3553, unseen=0.4692, h=0.4044 ZSL: unseen accuracy=0.6442
[48/400]  Loss_D: -2.3152 Loss_G: -1.7533, Wasserstein_dist:3.2401, vae_loss_seen:363.8960 GZSL: seen=0.3694, unseen=0.4365, h=0.4002 ZSL: unseen accuracy=0.6538
[49/400]  Loss_D: -2.4702 Loss_G: -1.8109, Wasserstein_dist:3.3904, vae_loss_seen:372.9569 GZSL: seen=0.3693, unseen=0.4558, h=0.4080 ZSL: unseen accuracy=0.6538
[50/400]  Loss_D: -2.3888 Loss_G: -1.7537, Wasserstein_dist:3.2593, vae_loss_seen:362.2302 GZSL: seen=0.3456, unseen=0.4856, h=0.4038 ZSL: unseen accuracy=0.6433
[51/400]  Loss_D: -2.3793 Loss_G: -1.6739, Wasserstein_dist:3.1046, vae_loss_seen:375.0072 GZSL: seen=0.3799, unseen=0.4471, h=0.4108 ZSL: unseen accuracy=0.6481
[52/400]  Loss_D: -2.3341 Loss_G: -1.7780, Wasserstein_dist:3.1112, vae_loss_seen:361.7120 GZSL: seen=0.3624, unseen=0.4769, h=0.4119 ZSL: unseen accuracy=0.6404
[53/400]  Loss_D: -2.2682 Loss_G: -1.8122, Wasserstein_dist:2.9423, vae_loss_seen:376.9460 GZSL: seen=0.3674, unseen=0.4644, h=0.4102 ZSL: unseen accuracy=0.6462
[54/400]  Loss_D: -2.3543 Loss_G: -1.8682, Wasserstein_dist:3.1605, vae_loss_seen:376.9124 GZSL: seen=0.3584, unseen=0.4798, h=0.4103 ZSL: unseen accuracy=0.6510
[55/400]  Loss_D: -2.0921 Loss_G: -1.4886, Wasserstein_dist:2.7759, vae_loss_seen:369.1280 GZSL: seen=0.3771, unseen=0.4423, h=0.4071 ZSL: unseen accuracy=0.6558
[56/400]  Loss_D: -2.0895 Loss_G: -1.4705, Wasserstein_dist:2.6934, vae_loss_seen:363.4354 GZSL: seen=0.3787, unseen=0.4385, h=0.4064 ZSL: unseen accuracy=0.6433
[57/400]  Loss_D: -2.2804 Loss_G: -1.6897, Wasserstein_dist:2.9184, vae_loss_seen:382.9952 GZSL: seen=0.3646, unseen=0.4663, h=0.4092 ZSL: unseen accuracy=0.6452
[58/400]  Loss_D: -2.2009 Loss_G: -1.7363, Wasserstein_dist:2.8629, vae_loss_seen:372.2822 GZSL: seen=0.3768, unseen=0.4385, h=0.4053 ZSL: unseen accuracy=0.6519
[59/400]  Loss_D: -2.2254 Loss_G: -1.8518, Wasserstein_dist:3.0892, vae_loss_seen:371.2006 GZSL: seen=0.3461, unseen=0.5038, h=0.4104 ZSL: unseen accuracy=0.6510
[60/400]  Loss_D: -2.1022 Loss_G: -1.6640, Wasserstein_dist:2.7738, vae_loss_seen:364.4180 GZSL: seen=0.3768, unseen=0.4567, h=0.4130 ZSL: unseen accuracy=0.6577
[61/400]  Loss_D: -2.0953 Loss_G: -1.8278, Wasserstein_dist:2.8400, vae_loss_seen:369.6201 GZSL: seen=0.3760, unseen=0.4452, h=0.4077 ZSL: unseen accuracy=0.6558
