HYPER-PARAMETERS
[52/500]  Loss_D: -49.8053 Loss_G: -14.9592, Wasserstein_dist:66.0685, vae_loss_seen:659.1138 GZSL: seen=0.9432, unseen=0.6342, h=0.7584 ZSL: unseen accuracy=0.6448
[53/500]  Loss_D: -47.5133 Loss_G: -15.8759, Wasserstein_dist:62.7362, vae_loss_seen:653.0986 GZSL: seen=0.9493, unseen=0.6239, h=0.7529 ZSL: unseen accuracy=0.6515
[54/500]  Loss_D: -40.0930 Loss_G: -15.9065, Wasserstein_dist:56.1745, vae_loss_seen:656.0634 GZSL: seen=0.9531, unseen=0.6195, h=0.7509 ZSL: unseen accuracy=0.6437
[55/500]  Loss_D: -39.8020 Loss_G: -16.8483, Wasserstein_dist:54.4935, vae_loss_seen:629.9925 GZSL: seen=0.8967, unseen=0.6544, h=0.7566 ZSL: unseen accuracy=0.6586
[56/500]  Loss_D: -45.2390 Loss_G: -16.3510, Wasserstein_dist:58.0935, vae_loss_seen:631.1088 GZSL: seen=0.8976, unseen=0.6408, h=0.7478 ZSL: unseen accuracy=0.6794
[57/500]  Loss_D: -34.7264 Loss_G: -17.1140, Wasserstein_dist:46.9029, vae_loss_seen:631.8475 GZSL: seen=0.9444, unseen=0.6120, h=0.7427 ZSL: unseen accuracy=0.6338
[58/500]  Loss_D: -43.9654 Loss_G: -15.9619, Wasserstein_dist:56.7025, vae_loss_seen:647.7396 GZSL: seen=0.9450, unseen=0.6280, h=0.7546 ZSL: unseen accuracy=0.6664
[59/500]  Loss_D: -39.4172 Loss_G: -16.9793, Wasserstein_dist:53.3287, vae_loss_seen:636.1739 GZSL: seen=0.8965, unseen=0.6431, h=0.7490 ZSL: unseen accuracy=0.6454
[60/500]  Loss_D: -37.5285 Loss_G: -17.7818, Wasserstein_dist:56.7108, vae_loss_seen:628.6727 GZSL: seen=0.9547, unseen=0.6312, h=0.7599 ZSL: unseen accuracy=0.6542
[61/500]  Loss_D: -43.6897 Loss_G: -17.8869, Wasserstein_dist:58.2227, vae_loss_seen:626.7070 GZSL: seen=0.9485, unseen=0.6316, h=0.7582 ZSL: unseen accuracy=0.6563
[62/500]  Loss_D: -37.8930 Loss_G: -17.3148, Wasserstein_dist:53.7888, vae_loss_seen:623.9235 GZSL: seen=0.9524, unseen=0.6098, h=0.7435 ZSL: unseen accuracy=0.6408
[63/500]  Loss_D: -48.3757 Loss_G: -17.6983, Wasserstein_dist:61.6049, vae_loss_seen:630.5717 GZSL: seen=0.8961, unseen=0.6424, h=0.7483 ZSL: unseen accuracy=0.6497
[64/500]  Loss_D: -39.5273 Loss_G: -17.9216, Wasserstein_dist:53.0808, vae_loss_seen:647.0045 GZSL: seen=0.9440, unseen=0.6350, h=0.7593 ZSL: unseen accuracy=0.6668
[65/500]  Loss_D: -40.7299 Loss_G: -18.0236, Wasserstein_dist:52.7828, vae_loss_seen:609.9716 GZSL: seen=0.9552, unseen=0.6101, h=0.7446 ZSL: unseen accuracy=0.6627
[66/500]  Loss_D: -37.2904 Loss_G: -18.0112, Wasserstein_dist:48.5409, vae_loss_seen:616.7338 GZSL: seen=0.8930, unseen=0.6479, h=0.7510 ZSL: unseen accuracy=0.6643
[67/500]  Loss_D: -36.9953 Loss_G: -18.3288, Wasserstein_dist:47.3000, vae_loss_seen:616.1072 GZSL: seen=0.9505, unseen=0.6323, h=0.7594 ZSL: unseen accuracy=0.6667
[68/500]  Loss_D: -37.0804 Loss_G: -18.1042, Wasserstein_dist:49.8972, vae_loss_seen:612.4059 GZSL: seen=0.9479, unseen=0.6361, h=0.7613 ZSL: unseen accuracy=0.6487
[69/500]  Loss_D: -41.2494 Loss_G: -18.6652, Wasserstein_dist:54.3758, vae_loss_seen:625.4095 GZSL: seen=0.8990, unseen=0.6500, h=0.7544 ZSL: unseen accuracy=0.6571
[70/500]  Loss_D: -37.2340 Loss_G: -18.6026, Wasserstein_dist:49.4231, vae_loss_seen:614.2372 GZSL: seen=0.9026, unseen=0.6510, h=0.7564 ZSL: unseen accuracy=0.6618
[71/500]  Loss_D: -37.2902 Loss_G: -19.7613, Wasserstein_dist:49.1152, vae_loss_seen:616.4978 GZSL: seen=0.8961, unseen=0.6480, h=0.7521 ZSL: unseen accuracy=0.6650
