HYPER-PARAMETERS
[72/500]  Loss_D: -22.7867 Loss_G: -3.9346, Wasserstein_dist:30.4679, vae_loss_seen:359.8262 GZSL: seen=0.8547, unseen=0.5306, h=0.6547 ZSL: unseen accuracy=0.5759
[73/500]  Loss_D: -23.5391 Loss_G: -4.0634, Wasserstein_dist:30.3554, vae_loss_seen:353.8335 GZSL: seen=0.8721, unseen=0.5194, h=0.6511 ZSL: unseen accuracy=0.5758
[74/500]  Loss_D: -23.9670 Loss_G: -3.9299, Wasserstein_dist:31.7832, vae_loss_seen:373.7680 GZSL: seen=0.8324, unseen=0.5326, h=0.6496 ZSL: unseen accuracy=0.5740
[75/500]  Loss_D: -24.4560 Loss_G: -3.7082, Wasserstein_dist:31.3896, vae_loss_seen:355.2951 GZSL: seen=0.8409, unseen=0.5387, h=0.6567 ZSL: unseen accuracy=0.5785
[76/500]  Loss_D: -24.3664 Loss_G: -3.8827, Wasserstein_dist:31.8838, vae_loss_seen:369.8495 GZSL: seen=0.8475, unseen=0.5311, h=0.6530 ZSL: unseen accuracy=0.5842
[77/500]  Loss_D: -22.3768 Loss_G: -3.2300, Wasserstein_dist:31.3842, vae_loss_seen:370.8312 GZSL: seen=0.8257, unseen=0.5450, h=0.6566 ZSL: unseen accuracy=0.5786
[78/500]  Loss_D: -22.4117 Loss_G: -3.7027, Wasserstein_dist:30.3827, vae_loss_seen:365.7988 GZSL: seen=0.8645, unseen=0.5471, h=0.6701 ZSL: unseen accuracy=0.5867
[79/500]  Loss_D: -22.4650 Loss_G: -3.8892, Wasserstein_dist:30.2837, vae_loss_seen:362.5775 GZSL: seen=0.8497, unseen=0.5365, h=0.6577 ZSL: unseen accuracy=0.5806
[80/500]  Loss_D: -23.0636 Loss_G: -3.7852, Wasserstein_dist:32.2120, vae_loss_seen:364.9709 GZSL: seen=0.8422, unseen=0.5345, h=0.6540 ZSL: unseen accuracy=0.5741
[81/500]  Loss_D: -21.7630 Loss_G: -3.4340, Wasserstein_dist:29.0853, vae_loss_seen:358.6460 GZSL: seen=0.8527, unseen=0.5323, h=0.6555 ZSL: unseen accuracy=0.5723
[82/500]  Loss_D: -25.6225 Loss_G: -3.7995, Wasserstein_dist:34.3564, vae_loss_seen:377.2499 GZSL: seen=0.8520, unseen=0.5422, h=0.6627 ZSL: unseen accuracy=0.5886
[83/500]  Loss_D: -23.7592 Loss_G: -3.5809, Wasserstein_dist:31.8505, vae_loss_seen:380.5985 GZSL: seen=0.8704, unseen=0.5222, h=0.6527 ZSL: unseen accuracy=0.5702
[84/500]  Loss_D: -21.9480 Loss_G: -3.7697, Wasserstein_dist:30.3756, vae_loss_seen:364.3369 GZSL: seen=0.8293, unseen=0.5375, h=0.6522 ZSL: unseen accuracy=0.5719
[85/500]  Loss_D: -22.3123 Loss_G: -3.7184, Wasserstein_dist:29.2738, vae_loss_seen:366.4666 GZSL: seen=0.8537, unseen=0.5257, h=0.6507 ZSL: unseen accuracy=0.5699
[86/500]  Loss_D: -22.3781 Loss_G: -3.4112, Wasserstein_dist:30.3976, vae_loss_seen:380.4008 GZSL: seen=0.8141, unseen=0.5402, h=0.6495 ZSL: unseen accuracy=0.5840
[87/500]  Loss_D: -25.0066 Loss_G: -3.5910, Wasserstein_dist:33.3101, vae_loss_seen:382.7611 GZSL: seen=0.8394, unseen=0.5349, h=0.6534 ZSL: unseen accuracy=0.5889
[88/500]  Loss_D: -23.4045 Loss_G: -3.3963, Wasserstein_dist:31.2670, vae_loss_seen:347.2405 GZSL: seen=0.8628, unseen=0.5441, h=0.6673 ZSL: unseen accuracy=0.5943
[89/500]  Loss_D: -24.3551 Loss_G: -3.4935, Wasserstein_dist:32.0900, vae_loss_seen:374.0471 GZSL: seen=0.8464, unseen=0.5355, h=0.6560 ZSL: unseen accuracy=0.5937
[90/500]  Loss_D: -21.1709 Loss_G: -3.2214, Wasserstein_dist:28.3659, vae_loss_seen:357.4621 GZSL: seen=0.8259, unseen=0.5466, h=0.6578 ZSL: unseen accuracy=0.5811
[91/500]  Loss_D: -19.2916 Loss_G: -3.5580, Wasserstein_dist:26.9021, vae_loss_seen:352.2989 GZSL: seen=0.8407, unseen=0.5355, h=0.6542 ZSL: unseen accuracy=0.5822
[92/500]  Loss_D: -20.0136 Loss_G: -3.6978, Wasserstein_dist:27.5693, vae_loss_seen:360.2739 GZSL: seen=0.8656, unseen=0.5330, h=0.6598 ZSL: unseen accuracy=0.5869
[93/500]  Loss_D: -22.5704 Loss_G: -3.6979, Wasserstein_dist:30.0582, vae_loss_seen:373.5703 GZSL: seen=0.8517, unseen=0.5372, h=0.6589 ZSL: unseen accuracy=0.5976
[94/500]  Loss_D: -23.8730 Loss_G: -3.5794, Wasserstein_dist:31.4241, vae_loss_seen:379.2581 GZSL: seen=0.8402, unseen=0.5496, h=0.6645 ZSL: unseen accuracy=0.5835
[95/500]  Loss_D: -18.8678 Loss_G: -3.7125, Wasserstein_dist:27.5393, vae_loss_seen:361.1883 GZSL: seen=0.8393, unseen=0.5352, h=0.6536 ZSL: unseen accuracy=0.5831
[96/500]  Loss_D: -23.5315 Loss_G: -3.6158, Wasserstein_dist:31.1366, vae_loss_seen:385.0887 GZSL: seen=0.8536, unseen=0.5350, h=0.6578 ZSL: unseen accuracy=0.5754
[97/500]  Loss_D: -23.2139 Loss_G: -3.7359, Wasserstein_dist:31.5223, vae_loss_seen:363.4347 GZSL: seen=0.8408, unseen=0.5456, h=0.6618 ZSL: unseen accuracy=0.5895
[98/500]  Loss_D: -23.1744 Loss_G: -3.7441, Wasserstein_dist:30.8218, vae_loss_seen:371.8266 GZSL: seen=0.8371, unseen=0.5405, h=0.6569 ZSL: unseen accuracy=0.5874
[99/500]  Loss_D: -19.8811 Loss_G: -3.3307, Wasserstein_dist:26.4494, vae_loss_seen:361.2823 GZSL: seen=0.8509, unseen=0.5389, h=0.6599 ZSL: unseen accuracy=0.5858
[100/500]  Loss_D: -22.9419 Loss_G: -3.4020, Wasserstein_dist:30.0196, vae_loss_seen:360.7255 GZSL: seen=0.8474, unseen=0.5343, h=0.6554 ZSL: unseen accuracy=0.5795
[101/500]  Loss_D: -23.1324 Loss_G: -3.7809, Wasserstein_dist:31.2656, vae_loss_seen:389.1716 GZSL: seen=0.8516, unseen=0.5396, h=0.6606 ZSL: unseen accuracy=0.5857
[102/500]  Loss_D: -21.1681 Loss_G: -3.4932, Wasserstein_dist:29.4033, vae_loss_seen:377.9635 GZSL: seen=0.8340, unseen=0.5402, h=0.6557 ZSL: unseen accuracy=0.5900
[103/500]  Loss_D: -20.8147 Loss_G: -3.8800, Wasserstein_dist:27.5844, vae_loss_seen:358.9563 GZSL: seen=0.8199, unseen=0.5482, h=0.6570 ZSL: unseen accuracy=0.5707
[104/500]  Loss_D: -22.2483 Loss_G: -2.9471, Wasserstein_dist:29.0584, vae_loss_seen:374.9113 GZSL: seen=0.8174, unseen=0.5489, h=0.6568 ZSL: unseen accuracy=0.5793
[105/500]  Loss_D: -20.6749 Loss_G: -3.3167, Wasserstein_dist:27.4399, vae_loss_seen:381.3723 GZSL: seen=0.8315, unseen=0.5375, h=0.6530 ZSL: unseen accuracy=0.5819
[106/500]  Loss_D: -18.5487 Loss_G: -3.4464, Wasserstein_dist:24.3946, vae_loss_seen:359.3941 GZSL: seen=0.8586, unseen=0.5255, h=0.6520 ZSL: unseen accuracy=0.5709
[107/500]  Loss_D: -20.7761 Loss_G: -3.1185, Wasserstein_dist:27.9066, vae_loss_seen:384.3181 GZSL: seen=0.8458, unseen=0.5321, h=0.6533 ZSL: unseen accuracy=0.5765
[108/500]  Loss_D: -18.3053 Loss_G: -2.9945, Wasserstein_dist:24.6346, vae_loss_seen:359.5808 GZSL: seen=0.8346, unseen=0.5356, h=0.6525 ZSL: unseen accuracy=0.5759
[109/500]  Loss_D: -18.1221 Loss_G: -3.0850, Wasserstein_dist:24.7686, vae_loss_seen:351.1370 GZSL: seen=0.8206, unseen=0.5444, h=0.6546 ZSL: unseen accuracy=0.5754
[110/500]  Loss_D: -21.3670 Loss_G: -3.1444, Wasserstein_dist:28.8137, vae_loss_seen:384.7704 GZSL: seen=0.8447, unseen=0.5414, h=0.6599 ZSL: unseen accuracy=0.5779
[111/500]  Loss_D: -17.8809 Loss_G: -3.1934, Wasserstein_dist:23.9269, vae_loss_seen:358.5932 GZSL: seen=0.8216, unseen=0.5415, h=0.6527 ZSL: unseen accuracy=0.5762
[112/500]  Loss_D: -19.4378 Loss_G: -2.6574, Wasserstein_dist:26.4538, vae_loss_seen:383.0093 GZSL: seen=0.8423, unseen=0.5342, h=0.6538 ZSL: unseen accuracy=0.5763
[113/500]  Loss_D: -22.4144 Loss_G: -2.8985, Wasserstein_dist:29.4900, vae_loss_seen:391.3718 GZSL: seen=0.8448, unseen=0.5397, h=0.6586 ZSL: unseen accuracy=0.5878
[114/500]  Loss_D: -18.1361 Loss_G: -3.1069, Wasserstein_dist:23.7426, vae_loss_seen:373.3400 GZSL: seen=0.8405, unseen=0.5324, h=0.6518 ZSL: unseen accuracy=0.5745
