HYPER-PARAMETERS
[35/500]  Loss_D: -50.5420 Loss_G: -11.7484, Wasserstein_dist:69.4022, vae_loss_seen:699.8572 GZSL: seen=0.9405, unseen=0.6275, h=0.7528 ZSL: unseen accuracy=0.6373
[36/500]  Loss_D: -52.3418 Loss_G: -11.8646, Wasserstein_dist:69.3039, vae_loss_seen:697.2540 GZSL: seen=0.9408, unseen=0.5983, h=0.7314 ZSL: unseen accuracy=0.6051
[37/500]  Loss_D: -43.7457 Loss_G: -11.5899, Wasserstein_dist:61.8961, vae_loss_seen:688.9702 GZSL: seen=0.9645, unseen=0.5867, h=0.7296 ZSL: unseen accuracy=0.6211
[38/500]  Loss_D: -53.2907 Loss_G: -12.0966, Wasserstein_dist:70.7787, vae_loss_seen:704.4902 GZSL: seen=0.8824, unseen=0.6328, h=0.7370 ZSL: unseen accuracy=0.6401
[39/500]  Loss_D: -45.1491 Loss_G: -12.4549, Wasserstein_dist:61.8178, vae_loss_seen:681.5849 GZSL: seen=0.9008, unseen=0.6070, h=0.7253 ZSL: unseen accuracy=0.6139
[40/500]  Loss_D: -46.9359 Loss_G: -12.6705, Wasserstein_dist:66.0234, vae_loss_seen:697.8477 GZSL: seen=0.9447, unseen=0.5973, h=0.7319 ZSL: unseen accuracy=0.6158
[41/500]  Loss_D: -52.3769 Loss_G: -12.6500, Wasserstein_dist:67.6778, vae_loss_seen:682.6088 GZSL: seen=0.9000, unseen=0.6130, h=0.7293 ZSL: unseen accuracy=0.6166
[42/500]  Loss_D: -54.2157 Loss_G: -12.8217, Wasserstein_dist:71.9278, vae_loss_seen:687.8169 GZSL: seen=0.9672, unseen=0.5917, h=0.7342 ZSL: unseen accuracy=0.6411
[43/500]  Loss_D: -41.2170 Loss_G: -12.7902, Wasserstein_dist:59.1928, vae_loss_seen:696.6799 GZSL: seen=0.9459, unseen=0.6232, h=0.7514 ZSL: unseen accuracy=0.6355
[44/500]  Loss_D: -40.7420 Loss_G: -14.2131, Wasserstein_dist:59.2397, vae_loss_seen:658.0957 GZSL: seen=0.9459, unseen=0.6104, h=0.7419 ZSL: unseen accuracy=0.6251
[45/500]  Loss_D: -44.2741 Loss_G: -13.3921, Wasserstein_dist:62.5419, vae_loss_seen:678.7484 GZSL: seen=0.9463, unseen=0.6085, h=0.7407 ZSL: unseen accuracy=0.6336
[46/500]  Loss_D: -43.4280 Loss_G: -14.3393, Wasserstein_dist:61.2941, vae_loss_seen:672.7258 GZSL: seen=0.9356, unseen=0.6245, h=0.7490 ZSL: unseen accuracy=0.6319
