HYPER-PARAMETERS
[40/500]  Loss_D: -26.0121 Loss_G: -4.1727, Wasserstein_dist:34.4924, vae_loss_seen:371.2187 GZSL: seen=0.7983, unseen=0.5074, h=0.6204 ZSL: unseen accuracy=0.5607
[41/500]  Loss_D: -28.4636 Loss_G: -3.8486, Wasserstein_dist:36.5378, vae_loss_seen:377.5288 GZSL: seen=0.8431, unseen=0.4939, h=0.6229 ZSL: unseen accuracy=0.5612
[42/500]  Loss_D: -26.2471 Loss_G: -4.4265, Wasserstein_dist:36.3179, vae_loss_seen:374.2432 GZSL: seen=0.8227, unseen=0.5150, h=0.6335 ZSL: unseen accuracy=0.5695
[43/500]  Loss_D: -22.8329 Loss_G: -3.9962, Wasserstein_dist:30.9000, vae_loss_seen:356.2079 GZSL: seen=0.8356, unseen=0.5059, h=0.6302 ZSL: unseen accuracy=0.5564
[44/500]  Loss_D: -30.7046 Loss_G: -4.4267, Wasserstein_dist:39.2090, vae_loss_seen:373.7103 GZSL: seen=0.8149, unseen=0.5039, h=0.6227 ZSL: unseen accuracy=0.5645
[45/500]  Loss_D: -28.2303 Loss_G: -4.4200, Wasserstein_dist:36.5962, vae_loss_seen:370.1429 GZSL: seen=0.8370, unseen=0.5096, h=0.6335 ZSL: unseen accuracy=0.5724
[46/500]  Loss_D: -24.8576 Loss_G: -4.4661, Wasserstein_dist:34.0096, vae_loss_seen:363.5790 GZSL: seen=0.8259, unseen=0.5110, h=0.6314 ZSL: unseen accuracy=0.5595
[47/500]  Loss_D: -23.5424 Loss_G: -4.2185, Wasserstein_dist:31.7800, vae_loss_seen:351.4936 GZSL: seen=0.8499, unseen=0.4959, h=0.6263 ZSL: unseen accuracy=0.5565
[48/500]  Loss_D: -25.0908 Loss_G: -4.3424, Wasserstein_dist:32.6926, vae_loss_seen:369.3775 GZSL: seen=0.8190, unseen=0.5385, h=0.6498 ZSL: unseen accuracy=0.5721
[49/500]  Loss_D: -24.3910 Loss_G: -4.3989, Wasserstein_dist:33.0078, vae_loss_seen:362.7776 GZSL: seen=0.7956, unseen=0.5329, h=0.6383 ZSL: unseen accuracy=0.5735
[50/500]  Loss_D: -25.5368 Loss_G: -4.5403, Wasserstein_dist:32.8598, vae_loss_seen:351.5799 GZSL: seen=0.8362, unseen=0.5168, h=0.6388 ZSL: unseen accuracy=0.5724
[51/500]  Loss_D: -25.4243 Loss_G: -4.2697, Wasserstein_dist:32.9921, vae_loss_seen:357.7946 GZSL: seen=0.8194, unseen=0.5252, h=0.6401 ZSL: unseen accuracy=0.5778
[52/500]  Loss_D: -25.4144 Loss_G: -4.3071, Wasserstein_dist:33.8353, vae_loss_seen:376.1607 GZSL: seen=0.8092, unseen=0.5376, h=0.6460 ZSL: unseen accuracy=0.5742
[53/500]  Loss_D: -26.7766 Loss_G: -4.4009, Wasserstein_dist:34.8367, vae_loss_seen:348.7148 GZSL: seen=0.8499, unseen=0.5126, h=0.6395 ZSL: unseen accuracy=0.5739
[54/500]  Loss_D: -25.2980 Loss_G: -4.2531, Wasserstein_dist:33.2589, vae_loss_seen:367.0760 GZSL: seen=0.8237, unseen=0.5249, h=0.6412 ZSL: unseen accuracy=0.5692
[55/500]  Loss_D: -23.5156 Loss_G: -4.4988, Wasserstein_dist:30.8008, vae_loss_seen:354.8664 GZSL: seen=0.8020, unseen=0.5364, h=0.6428 ZSL: unseen accuracy=0.5711
[56/500]  Loss_D: -24.7106 Loss_G: -4.2370, Wasserstein_dist:33.2649, vae_loss_seen:365.2496 GZSL: seen=0.8430, unseen=0.5401, h=0.6584 ZSL: unseen accuracy=0.5965
[57/500]  Loss_D: -21.9413 Loss_G: -4.5058, Wasserstein_dist:31.0204, vae_loss_seen:366.2487 GZSL: seen=0.8041, unseen=0.5362, h=0.6434 ZSL: unseen accuracy=0.5687
[58/500]  Loss_D: -27.3597 Loss_G: -4.5645, Wasserstein_dist:35.3501, vae_loss_seen:377.6997 GZSL: seen=0.8267, unseen=0.5222, h=0.6401 ZSL: unseen accuracy=0.5673
[59/500]  Loss_D: -22.0508 Loss_G: -4.4156, Wasserstein_dist:29.8920, vae_loss_seen:352.6517 GZSL: seen=0.8360, unseen=0.5248, h=0.6448 ZSL: unseen accuracy=0.5845
[60/500]  Loss_D: -27.4623 Loss_G: -4.8219, Wasserstein_dist:35.7341, vae_loss_seen:371.1696 GZSL: seen=0.8287, unseen=0.5268, h=0.6441 ZSL: unseen accuracy=0.5666
[61/500]  Loss_D: -27.9753 Loss_G: -4.3960, Wasserstein_dist:36.5612, vae_loss_seen:377.7144 GZSL: seen=0.8282, unseen=0.5241, h=0.6419 ZSL: unseen accuracy=0.5705
