HYPER-PARAMETERS
[37/500]  Loss_D: -23.6380 Loss_G: -3.3778, Wasserstein_dist:32.0439, vae_loss_seen:370.6213 GZSL: seen=0.8138, unseen=0.4981, h=0.6180 ZSL: unseen accuracy=0.5428
[38/500]  Loss_D: -26.0073 Loss_G: -3.6077, Wasserstein_dist:34.5205, vae_loss_seen:368.6874 GZSL: seen=0.8315, unseen=0.4797, h=0.6084 ZSL: unseen accuracy=0.5526
[39/500]  Loss_D: -23.3927 Loss_G: -3.7955, Wasserstein_dist:32.2279, vae_loss_seen:356.1473 GZSL: seen=0.8331, unseen=0.4906, h=0.6176 ZSL: unseen accuracy=0.5593
[40/500]  Loss_D: -26.2540 Loss_G: -3.7681, Wasserstein_dist:34.7720, vae_loss_seen:374.7607 GZSL: seen=0.7973, unseen=0.5063, h=0.6193 ZSL: unseen accuracy=0.5563
[41/500]  Loss_D: -28.0666 Loss_G: -3.5099, Wasserstein_dist:36.8222, vae_loss_seen:380.5738 GZSL: seen=0.8170, unseen=0.5037, h=0.6232 ZSL: unseen accuracy=0.5648
[42/500]  Loss_D: -27.5492 Loss_G: -3.9054, Wasserstein_dist:36.8800, vae_loss_seen:378.9218 GZSL: seen=0.8234, unseen=0.5106, h=0.6303 ZSL: unseen accuracy=0.5643
[43/500]  Loss_D: -22.3859 Loss_G: -3.5889, Wasserstein_dist:30.9691, vae_loss_seen:359.7742 GZSL: seen=0.8387, unseen=0.5060, h=0.6312 ZSL: unseen accuracy=0.5554
[44/500]  Loss_D: -29.9350 Loss_G: -4.0308, Wasserstein_dist:39.2582, vae_loss_seen:377.3152 GZSL: seen=0.8211, unseen=0.5085, h=0.6281 ZSL: unseen accuracy=0.5659
[45/500]  Loss_D: -28.7716 Loss_G: -3.9540, Wasserstein_dist:37.1019, vae_loss_seen:374.4606 GZSL: seen=0.8373, unseen=0.5087, h=0.6329 ZSL: unseen accuracy=0.5701
[46/500]  Loss_D: -25.0526 Loss_G: -4.0302, Wasserstein_dist:34.1474, vae_loss_seen:367.4310 GZSL: seen=0.8426, unseen=0.5069, h=0.6330 ZSL: unseen accuracy=0.5627
[47/500]  Loss_D: -24.6891 Loss_G: -3.7084, Wasserstein_dist:32.4245, vae_loss_seen:356.1812 GZSL: seen=0.7968, unseen=0.5135, h=0.6245 ZSL: unseen accuracy=0.5600
[48/500]  Loss_D: -25.5282 Loss_G: -3.8942, Wasserstein_dist:33.1949, vae_loss_seen:373.4487 GZSL: seen=0.8192, unseen=0.5348, h=0.6471 ZSL: unseen accuracy=0.5648
[49/500]  Loss_D: -25.3702 Loss_G: -3.9170, Wasserstein_dist:33.4938, vae_loss_seen:366.9636 GZSL: seen=0.8549, unseen=0.5114, h=0.6400 ZSL: unseen accuracy=0.5700
[50/500]  Loss_D: -25.9558 Loss_G: -4.1589, Wasserstein_dist:33.2778, vae_loss_seen:354.9415 GZSL: seen=0.8356, unseen=0.5173, h=0.6390 ZSL: unseen accuracy=0.5708
[51/500]  Loss_D: -25.8072 Loss_G: -3.8418, Wasserstein_dist:33.3964, vae_loss_seen:361.6825 GZSL: seen=0.8212, unseen=0.5251, h=0.6406 ZSL: unseen accuracy=0.5750
[52/500]  Loss_D: -25.8635 Loss_G: -3.8809, Wasserstein_dist:34.1801, vae_loss_seen:379.8734 GZSL: seen=0.8522, unseen=0.5151, h=0.6421 ZSL: unseen accuracy=0.5712
[53/500]  Loss_D: -27.0808 Loss_G: -4.0386, Wasserstein_dist:35.0898, vae_loss_seen:351.9005 GZSL: seen=0.8488, unseen=0.5119, h=0.6387 ZSL: unseen accuracy=0.5728
[54/500]  Loss_D: -25.7097 Loss_G: -3.9401, Wasserstein_dist:33.7759, vae_loss_seen:369.6800 GZSL: seen=0.8249, unseen=0.5236, h=0.6406 ZSL: unseen accuracy=0.5700
[55/500]  Loss_D: -23.7013 Loss_G: -4.1630, Wasserstein_dist:31.0075, vae_loss_seen:357.6494 GZSL: seen=0.8063, unseen=0.5317, h=0.6408 ZSL: unseen accuracy=0.5702
[56/500]  Loss_D: -24.2229 Loss_G: -4.0744, Wasserstein_dist:33.5136, vae_loss_seen:366.2506 GZSL: seen=0.8442, unseen=0.5402, h=0.6588 ZSL: unseen accuracy=0.5925
[57/500]  Loss_D: -23.3223 Loss_G: -4.1726, Wasserstein_dist:31.8455, vae_loss_seen:369.0482 GZSL: seen=0.8051, unseen=0.5354, h=0.6431 ZSL: unseen accuracy=0.5689
[58/500]  Loss_D: -27.0339 Loss_G: -4.2998, Wasserstein_dist:35.5099, vae_loss_seen:379.8165 GZSL: seen=0.8260, unseen=0.5247, h=0.6418 ZSL: unseen accuracy=0.5655
[59/500]  Loss_D: -22.3589 Loss_G: -4.2494, Wasserstein_dist:30.1857, vae_loss_seen:353.8628 GZSL: seen=0.8354, unseen=0.5270, h=0.6463 ZSL: unseen accuracy=0.5836
[60/500]  Loss_D: -27.1282 Loss_G: -4.7196, Wasserstein_dist:36.0062, vae_loss_seen:371.7189 GZSL: seen=0.8295, unseen=0.5287, h=0.6458 ZSL: unseen accuracy=0.5670
[61/500]  Loss_D: -28.3756 Loss_G: -4.2707, Wasserstein_dist:36.8822, vae_loss_seen:378.5268 GZSL: seen=0.8273, unseen=0.5198, h=0.6384 ZSL: unseen accuracy=0.5695
[62/500]  Loss_D: -23.6433 Loss_G: -4.2500, Wasserstein_dist:32.1157, vae_loss_seen:366.2351 GZSL: seen=0.8575, unseen=0.5245, h=0.6508 ZSL: unseen accuracy=0.5809
[63/500]  Loss_D: -24.2950 Loss_G: -4.4212, Wasserstein_dist:33.0792, vae_loss_seen:369.7288 GZSL: seen=0.8458, unseen=0.5387, h=0.6582 ZSL: unseen accuracy=0.5873
[64/500]  Loss_D: -23.7401 Loss_G: -4.5445, Wasserstein_dist:31.2785, vae_loss_seen:357.9005 GZSL: seen=0.8435, unseen=0.5170, h=0.6411 ZSL: unseen accuracy=0.5712
[65/500]  Loss_D: -25.9599 Loss_G: -4.4054, Wasserstein_dist:34.0673, vae_loss_seen:358.0915 GZSL: seen=0.8251, unseen=0.5314, h=0.6465 ZSL: unseen accuracy=0.5822
[66/500]  Loss_D: -23.8401 Loss_G: -4.4430, Wasserstein_dist:32.3837, vae_loss_seen:375.4337 GZSL: seen=0.8249, unseen=0.5472, h=0.6580 ZSL: unseen accuracy=0.5879
[67/500]  Loss_D: -25.9077 Loss_G: -4.4272, Wasserstein_dist:33.1959, vae_loss_seen:367.7780 GZSL: seen=0.8392, unseen=0.5358, h=0.6540 ZSL: unseen accuracy=0.5951
[68/500]  Loss_D: -23.0377 Loss_G: -4.3762, Wasserstein_dist:30.9814, vae_loss_seen:344.6759 GZSL: seen=0.8602, unseen=0.5275, h=0.6539 ZSL: unseen accuracy=0.5795
[69/500]  Loss_D: -27.6103 Loss_G: -4.8049, Wasserstein_dist:35.2002, vae_loss_seen:361.6916 GZSL: seen=0.8607, unseen=0.5166, h=0.6457 ZSL: unseen accuracy=0.5747
[70/500]  Loss_D: -21.1383 Loss_G: -4.6184, Wasserstein_dist:28.9881, vae_loss_seen:349.7066 GZSL: seen=0.8557, unseen=0.5321, h=0.6561 ZSL: unseen accuracy=0.5821
[71/500]  Loss_D: -24.7371 Loss_G: -4.8863, Wasserstein_dist:33.2887, vae_loss_seen:366.6093 GZSL: seen=0.8528, unseen=0.5248, h=0.6497 ZSL: unseen accuracy=0.5759
[72/500]  Loss_D: -23.6392 Loss_G: -4.7607, Wasserstein_dist:30.8649, vae_loss_seen:351.5377 GZSL: seen=0.8525, unseen=0.5265, h=0.6510 ZSL: unseen accuracy=0.5766
[73/500]  Loss_D: -23.4922 Loss_G: -4.9018, Wasserstein_dist:30.2761, vae_loss_seen:345.6035 GZSL: seen=0.8570, unseen=0.5282, h=0.6536 ZSL: unseen accuracy=0.5749
[74/500]  Loss_D: -23.7851 Loss_G: -4.7627, Wasserstein_dist:31.5257, vae_loss_seen:365.5634 GZSL: seen=0.8308, unseen=0.5301, h=0.6472 ZSL: unseen accuracy=0.5670
[75/500]  Loss_D: -24.6300 Loss_G: -4.5903, Wasserstein_dist:31.5750, vae_loss_seen:346.5305 GZSL: seen=0.8423, unseen=0.5341, h=0.6537 ZSL: unseen accuracy=0.5750
[76/500]  Loss_D: -23.8817 Loss_G: -4.9242, Wasserstein_dist:31.9481, vae_loss_seen:359.4820 GZSL: seen=0.8455, unseen=0.5302, h=0.6518 ZSL: unseen accuracy=0.5824
[77/500]  Loss_D: -22.6087 Loss_G: -4.3159, Wasserstein_dist:31.6499, vae_loss_seen:359.9633 GZSL: seen=0.8245, unseen=0.5414, h=0.6536 ZSL: unseen accuracy=0.5798
[78/500]  Loss_D: -22.4474 Loss_G: -4.7263, Wasserstein_dist:30.4042, vae_loss_seen:355.3407 GZSL: seen=0.8629, unseen=0.5461, h=0.6689 ZSL: unseen accuracy=0.5816
[79/500]  Loss_D: -22.4863 Loss_G: -4.9872, Wasserstein_dist:30.3271, vae_loss_seen:351.6302 GZSL: seen=0.8461, unseen=0.5347, h=0.6553 ZSL: unseen accuracy=0.5778
[80/500]  Loss_D: -23.8106 Loss_G: -4.8788, Wasserstein_dist:32.3867, vae_loss_seen:354.0013 GZSL: seen=0.8407, unseen=0.5358, h=0.6545 ZSL: unseen accuracy=0.5690
[81/500]  Loss_D: -21.7815 Loss_G: -4.6836, Wasserstein_dist:29.0297, vae_loss_seen:346.1827 GZSL: seen=0.8301, unseen=0.5393, h=0.6539 ZSL: unseen accuracy=0.5701
[82/500]  Loss_D: -25.6464 Loss_G: -5.0699, Wasserstein_dist:34.2899, vae_loss_seen:364.6949 GZSL: seen=0.8497, unseen=0.5383, h=0.6590 ZSL: unseen accuracy=0.5860
[83/500]  Loss_D: -23.9213 Loss_G: -4.8093, Wasserstein_dist:31.9660, vae_loss_seen:368.2802 GZSL: seen=0.8690, unseen=0.5209, h=0.6514 ZSL: unseen accuracy=0.5686
[84/500]  Loss_D: -22.1698 Loss_G: -5.0603, Wasserstein_dist:30.4894, vae_loss_seen:351.2730 GZSL: seen=0.8083, unseen=0.5477, h=0.6529 ZSL: unseen accuracy=0.5671
[85/500]  Loss_D: -22.3966 Loss_G: -5.0095, Wasserstein_dist:29.2925, vae_loss_seen:353.5262 GZSL: seen=0.8269, unseen=0.5319, h=0.6474 ZSL: unseen accuracy=0.5688
[86/500]  Loss_D: -22.5215 Loss_G: -4.6624, Wasserstein_dist:30.6154, vae_loss_seen:367.9651 GZSL: seen=0.8703, unseen=0.5176, h=0.6491 ZSL: unseen accuracy=0.5803
[87/500]  Loss_D: -24.1734 Loss_G: -4.9111, Wasserstein_dist:32.9025, vae_loss_seen:369.3444 GZSL: seen=0.8214, unseen=0.5404, h=0.6519 ZSL: unseen accuracy=0.5848
[88/500]  Loss_D: -23.5721 Loss_G: -4.7922, Wasserstein_dist:31.4436, vae_loss_seen:333.1855 GZSL: seen=0.8627, unseen=0.5399, h=0.6641 ZSL: unseen accuracy=0.5891
