HYPER-PARAMETERS
[42/500]  Loss_D: -24.7291 Loss_G: -3.7750, Wasserstein_dist:32.3568, vae_loss_seen:353.2513 GZSL: seen=0.8397, unseen=0.5035, h=0.6295 ZSL: unseen accuracy=0.5572
[43/500]  Loss_D: -26.1410 Loss_G: -4.3464, Wasserstein_dist:35.8657, vae_loss_seen:374.4259 GZSL: seen=0.8418, unseen=0.4966, h=0.6247 ZSL: unseen accuracy=0.5602
[44/500]  Loss_D: -23.8902 Loss_G: -4.3743, Wasserstein_dist:34.2297, vae_loss_seen:360.8109 GZSL: seen=0.8364, unseen=0.5068, h=0.6312 ZSL: unseen accuracy=0.5565
[45/500]  Loss_D: -26.5047 Loss_G: -4.2473, Wasserstein_dist:35.2292, vae_loss_seen:369.0996 GZSL: seen=0.8378, unseen=0.5155, h=0.6383 ZSL: unseen accuracy=0.5627
[46/500]  Loss_D: -28.5999 Loss_G: -4.0165, Wasserstein_dist:37.0892, vae_loss_seen:374.0078 GZSL: seen=0.8645, unseen=0.4946, h=0.6292 ZSL: unseen accuracy=0.5513
[47/500]  Loss_D: -22.3755 Loss_G: -4.5103, Wasserstein_dist:31.6729, vae_loss_seen:358.1228 GZSL: seen=0.8723, unseen=0.4927, h=0.6297 ZSL: unseen accuracy=0.5574
[48/500]  Loss_D: -31.0550 Loss_G: -4.5151, Wasserstein_dist:40.5145, vae_loss_seen:403.9720 GZSL: seen=0.7943, unseen=0.5297, h=0.6356 ZSL: unseen accuracy=0.5633
[49/500]  Loss_D: -26.6929 Loss_G: -4.5988, Wasserstein_dist:34.5221, vae_loss_seen:372.1891 GZSL: seen=0.7929, unseen=0.5388, h=0.6416 ZSL: unseen accuracy=0.5729
[50/500]  Loss_D: -28.7512 Loss_G: -4.6511, Wasserstein_dist:37.4317, vae_loss_seen:369.6125 GZSL: seen=0.8200, unseen=0.5266, h=0.6413 ZSL: unseen accuracy=0.5728
[51/500]  Loss_D: -26.0898 Loss_G: -4.3107, Wasserstein_dist:33.5086, vae_loss_seen:362.3369 GZSL: seen=0.8060, unseen=0.5375, h=0.6449 ZSL: unseen accuracy=0.5630
[52/500]  Loss_D: -26.4565 Loss_G: -4.5605, Wasserstein_dist:34.6023, vae_loss_seen:361.0300 GZSL: seen=0.8377, unseen=0.5176, h=0.6399 ZSL: unseen accuracy=0.5608
[53/500]  Loss_D: -25.1007 Loss_G: -4.5688, Wasserstein_dist:34.2186, vae_loss_seen:365.7489 GZSL: seen=0.7925, unseen=0.5271, h=0.6331 ZSL: unseen accuracy=0.5696
[54/500]  Loss_D: -27.3501 Loss_G: -4.7770, Wasserstein_dist:36.4766, vae_loss_seen:378.5517 GZSL: seen=0.8635, unseen=0.5054, h=0.6376 ZSL: unseen accuracy=0.5568
[55/500]  Loss_D: -25.8562 Loss_G: -4.4748, Wasserstein_dist:33.3181, vae_loss_seen:361.2185 GZSL: seen=0.8622, unseen=0.5150, h=0.6449 ZSL: unseen accuracy=0.5691
[56/500]  Loss_D: -23.4116 Loss_G: -4.5664, Wasserstein_dist:31.7851, vae_loss_seen:360.0503 GZSL: seen=0.8384, unseen=0.5263, h=0.6467 ZSL: unseen accuracy=0.5814
[57/500]  Loss_D: -21.9350 Loss_G: -4.4477, Wasserstein_dist:30.1007, vae_loss_seen:361.4099 GZSL: seen=0.8436, unseen=0.5260, h=0.6479 ZSL: unseen accuracy=0.5710
[58/500]  Loss_D: -30.6572 Loss_G: -4.5458, Wasserstein_dist:39.0240, vae_loss_seen:377.3155 GZSL: seen=0.8447, unseen=0.5166, h=0.6411 ZSL: unseen accuracy=0.5602
